,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
4663,85013400,0,31,739,Other Arab League Countries,"DC MOTORS, GENERATORS WITH OUTPUT OVER 375 KW",85013400
4664,85014000,0,45,2195,Gulf Cooperation Council,"OTHER AC MOTORS, SINGLE-PHASE",85014000
4665,85015100,0,5,323,"Asian not Arabic ,not Islamic",MULTI-PHASE AC MOTORS NOT OVER 750 W,85015100
4666,85015100,0,18,601,European Union,MULTI-PHASE AC MOTORS NOT OVER 750 W,85015100
4667,85015200,0,44,2097,Other Arab League Countries,MULTI-PHASE AC MOTORS OVER 750 W TO 75 KW,85015200
4668,85015200,0,0,490,European Union,MULTI-PHASE AC MOTORS OVER 750 W TO 75 KW,85015200
4669,85015300,0,14,912,Gulf Cooperation Council,MULTI-PHASE AC MOTORS OVER 75 KW,85015300
4670,85015300,0,31,612,North America,MULTI-PHASE AC MOTORS OVER 75 KW,85015300
4671,85015300,0,33,2264,European Union,MULTI-PHASE AC MOTORS OVER 75 KW,85015300
4672,85016100,0,133,570,Gulf Cooperation Council,AC GENERATORS NOT EXCEEDING 75 KVA OUTPUT,85016100
4673,85016100,0,152,870,Other Arab League Countries,AC GENERATORS NOT EXCEEDING 75 KVA OUTPUT,85016100
4674,85016100,0,54,1168,European Union,AC GENERATORS NOT EXCEEDING 75 KVA OUTPUT,85016100
4675,85016200,0,137,3336,Gulf Cooperation Council,AC GENERATORS AN OUTPUT CAPACITY BETWEEN (76-375) KVA,85016200
4676,85016200,0,74,1292,Other Arab League Countries,AC GENERATORS AN OUTPUT CAPACITY BETWEEN (76-375) KVA,85016200
4677,85016200,0,2,851,"Asian not Arabic ,not Islamic",AC GENERATORS AN OUTPUT CAPACITY BETWEEN (76-375) KVA,85016200
4678,85016300,0,39,1488,Gulf Cooperation Council,AC GENERATORS AN OUTPUT CAPACITY BETWEEN (376-750) KVA,85016300
4679,85016300,0,9,831,European Union,AC GENERATORS AN OUTPUT CAPACITY BETWEEN (376-750) KVA,85016300
4680,85016400,0,151,1358,Gulf Cooperation Council,AC GENERATORS WITH OUTPUT OVER 750 KVA,85016400
4681,85016400,0,182,673,Other Arab League Countries,AC GENERATORS WITH OUTPUT OVER 750 KVA,85016400
4682,85021100,0,138,2995,Gulf Cooperation Council,"GENERATING SETS OF COMPRESSION ENGINES, 75 KVA OR LESS",85021100
4683,85021100,0,216,2526,Other Arab League Countries,"GENERATING SETS OF COMPRESSION ENGINES, 75 KVA OR LESS",85021100
4684,85021200,0,413,6415,Gulf Cooperation Council,"GENERATING SETS OF COMPRESSION ENGINES, 76 TO 375 KVA",85021200
4685,85021200,0,28,553,Other Arab League Countries,"GENERATING SETS OF COMPRESSION ENGINES, 76 TO 375 KVA",85021200
4686,85021300,0,1109,11883,Gulf Cooperation Council,"GENERATING SETS OF COMPRESSION ENGINES, OVER 375 KVA",85021300
4687,85021300,0,253,13893,Other Arab League Countries,"GENERATING SETS OF COMPRESSION ENGINES, OVER 375 KVA",85021300
4688,85021300,0,90,1192,South America,"GENERATING SETS OF COMPRESSION ENGINES, OVER 375 KVA",85021300
4689,85021300,0,40,640,European Union,"GENERATING SETS OF COMPRESSION ENGINES, OVER 375 KVA",85021300
4690,85023900,0,1155,38404,Gulf Cooperation Council,OTHER GROUPS OF GENERATORS,85023900
4691,85023900,0,935,13015,Other Arab League Countries,OTHER GROUPS OF GENERATORS,85023900
4692,85023900,0,9,345,Islamic not Arabic countries,OTHER GROUPS OF GENERATORS,85023900
4693,85023900,0,51,503,"Asian not Arabic ,not Islamic",OTHER GROUPS OF GENERATORS,85023900
4694,85023900,0,73,637,North America,OTHER GROUPS OF GENERATORS,85023900
4695,85024000,0,21,984,Gulf Cooperation Council,ELECTRIC ROTARY CONVERTERS,85024000
4696,85030000,0,62,1517,Gulf Cooperation Council,"PARTS FOR ELECTRIC MOTORS, GENERATORS OR GENERATING SET",85030000
4697,85030000,0,79,2732,European Union,"PARTS FOR ELECTRIC MOTORS, GENERATORS OR GENERATING SET",85030000
4698,85041000,0,102,3193,Gulf Cooperation Council,BALLASTS FOR DISCHARGE LAMPS OR TUBES,85041000
4699,85041000,0,45,486,Other Arab League Countries,BALLASTS FOR DISCHARGE LAMPS OR TUBES,85041000
4700,85041000,0,5,771,North America,BALLASTS FOR DISCHARGE LAMPS OR TUBES,85041000
4701,85041000,0,119,2425,European Union,BALLASTS FOR DISCHARGE LAMPS OR TUBES,85041000
4702,85042100,0,28,646,Gulf Cooperation Council,"LIQUID DIELECTRIC TRANSFORMERS, 650 OR LESS KVA",85042100
4703,85042200,0,70,1586,Gulf Cooperation Council,"LIQUID DIELECTRIC TRANSFORMERS, 651 TO 10,000 KVA",85042200
4704,85042200,0,66,539,Other Arab League Countries,"LIQUID DIELECTRIC TRANSFORMERS, 651 TO 10,000 KVA",85042200
4705,85042200,0,73,1788,Islamic not Arabic countries,"LIQUID DIELECTRIC TRANSFORMERS, 651 TO 10,000 KVA",85042200
4706,85042200,0,301,5636,"African not Arabic,not Islamic","LIQUID DIELECTRIC TRANSFORMERS, 651 TO 10,000 KVA",85042200
4707,85042200,0,24,2159,North America,"LIQUID DIELECTRIC TRANSFORMERS, 651 TO 10,000 KVA",85042200
4708,85042300,0,66,1606,Other Arab League Countries,"LIQUID DIELECTRIC TRANSFORMERS, OVER 10,000 KVA",85042300
4709,85042300,0,58,900,Islamic not Arabic countries,"LIQUID DIELECTRIC TRANSFORMERS, OVER 10,000 KVA",85042300
4710,85042300,0,39,1249,European Union,"LIQUID DIELECTRIC TRANSFORMERS, OVER 10,000 KVA",85042300
4711,85043100,0,69,1229,Gulf Cooperation Council,"OTHER TRANSFORMERS, 1 KVA OR LESS",85043100
4712,85043100,0,39,944,European Union,"OTHER TRANSFORMERS, 1 KVA OR LESS",85043100
4713,85043200,0,45,531,Gulf Cooperation Council,"OTHER TRANSFORMERS, OVER 1 BUT NOT MORE THAN 16 KVA",85043200
4714,85043300,0,252,4775,Gulf Cooperation Council,"OTHER TRANSFORMERS, OVER 16 BUT NOT MORE THAN 500 KVA",85043300
4715,85043300,0,365,11309,Other Arab League Countries,"OTHER TRANSFORMERS, OVER 16 BUT NOT MORE THAN 500 KVA",85043300
4716,85043400,0,581,11393,Gulf Cooperation Council,"OTHER TRANSFORMERS, OVER 500 KVA",85043400
4717,85043400,0,5310,85986,Other Arab League Countries,"OTHER TRANSFORMERS, OVER 500 KVA",85043400
4718,85043400,0,61,1140,European Union,"OTHER TRANSFORMERS, OVER 500 KVA",85043400
4719,85044010,0,3,308,Gulf Cooperation Council,Static converters for automatic data processing machines and unit,85044010
4720,85044010,0,12,59676,North America,Static converters for automatic data processing machines and unit,85044010
4721,85044090,0,83,1335,Gulf Cooperation Council,Other Static converters for automatic data processing machines an,85044090
4722,85044090,0,241,4480,Other Arab League Countries,Other Static converters for automatic data processing machines an,85044090
4723,85044090,0,144,3671,Islamic not Arabic countries,Other Static converters for automatic data processing machines an,85044090
4724,85044090,0,0,9008,North America,Other Static converters for automatic data processing machines an,85044090
4725,85044090,0,23,1520,European Union,Other Static converters for automatic data processing machines an,85044090
4726,85045010,0,19,1755,Gulf Cooperation Council,inductors for power supplies for automatic data processing machi,85045010
4727,85045090,0,987,24937,Gulf Cooperation Council,Other inductors for power supplies for automatic data processing,85045090
4728,85049000,0,28,1059,Gulf Cooperation Council,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",85049000
4729,85049000,0,72,634,Other Arab League Countries,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",85049000
4730,85049000,0,63,771,European Union,"PARTS FOR TRANSFORMERS, STATIC CONVERTERS AND INDUCTORS",85049000
4731,85061010,0,15,1419,Gulf Cooperation Council,DRY BATTERIES 1.5V FOR PORTABLE EQUIPMENT(maganese dioxide),85061010
4732,85061010,0,214,2185,Other Arab League Countries,DRY BATTERIES 1.5V FOR PORTABLE EQUIPMENT(maganese dioxide),85061010
4733,85061090,0,19,355,Gulf Cooperation Council,OTHER DRY BATTERIES OF Maganese dioxide,85061090
4734,85061090,0,550,7639,Other Arab League Countries,OTHER DRY BATTERIES OF Maganese dioxide,85061090
4735,85061090,0,32,508,European Union,OTHER DRY BATTERIES OF Maganese dioxide,85061090
4736,85063090,0,47,481,Gulf Cooperation Council,OTHER DRY BATTERIES OF MERCURY OXIDE,85063090
4737,85063090,0,157,1798,Other Arab League Countries,OTHER DRY BATTERIES OF MERCURY OXIDE,85063090
4738,85063090,0,46,436,Islamic not Arabic countries,OTHER DRY BATTERIES OF MERCURY OXIDE,85063090
4739,85065090,0,0,640,Other Arab League Countries,OTHER DRY BATTERIES OF LITHIUM.,85065090
4740,85068010,0,59,465,Other Arab League Countries,DRY BATTERIES FOR PORTABLE EQUIPMENT 1.5 V,85068010
4741,85068010,0,10,322,North America,DRY BATTERIES FOR PORTABLE EQUIPMENT 1.5 V,85068010
4742,85068090,0,13,595,Gulf Cooperation Council,OTHER DRY BATTERIES,85068090
4743,85071000,0,4236,53948,Gulf Cooperation Council,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,85071000
4744,85071000,0,5356,60486,Other Arab League Countries,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,85071000
4745,85071000,0,915,9187,"Asian not Arabic ,not Islamic",LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,85071000
4746,85071000,0,743,9518,North America,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,85071000
4747,85072000,0,9660,119150,Gulf Cooperation Council,OTHER LEAD-ACID ACCUMULATORS,85072000
4748,85076000,0,0,373,North America,OTHER ACCUMULATORS,85076000
4749,85078000,0,12,502,Gulf Cooperation Council,OTHER ACCUMULATORS,85078000
4750,85078000,0,1362,15602,Other Arab League Countries,OTHER ACCUMULATORS,85078000
4751,85078000,0,207,2119,"Asian not Arabic ,not Islamic",OTHER ACCUMULATORS,85078000
4752,85078000,0,1,535,European Union,OTHER ACCUMULATORS,85078000
4753,85079000,0,96,1073,Other Arab League Countries,PARTS FOR ELECTRIC ACCUMULATORS,85079000
4754,85079000,0,60,704,"Asian not Arabic ,not Islamic",PARTS FOR ELECTRIC ACCUMULATORS,85079000
4755,85086000,0,58,2060,Gulf Cooperation Council,Other Vacuum Vleaners,85086000
4756,85086000,0,38,430,Other Arab League Countries,Other Vacuum Vleaners,85086000
4757,85094000,0,100,1776,Gulf Cooperation Council,FOOD GRINDERS AND MIXERS; JUICE EXTRACTORS,85094000
4758,85098090,0,96,1972,Gulf Cooperation Council,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,85098090
4759,85098090,0,62,525,Other Arab League Countries,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,85098090
4760,85098090,0,264,939,"Asian not Arabic ,not Islamic",OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,85098090
4761,85098090,0,34,429,North America,OTHER DOMESTIC APPLIANCES WITH ELECTRIC MOTOR,85098090
4762,85114000,0,18,1052,European Union,STARTER MOTORS AND DUAL PURPOSE STARTER-GENERATORS,85114000
4763,85115000,0,198,5724,Gulf Cooperation Council,OTHER GENERATORS,85115000
4764,85115000,0,231,2387,Other Arab League Countries,OTHER GENERATORS,85115000
4765,85118000,0,49,1971,Gulf Cooperation Council,OTHER EQUIPMENT FOR STARTING ENGINES,85118000
4766,85118000,0,109,1948,Other Arab League Countries,OTHER EQUIPMENT FOR STARTING ENGINES,85118000
4767,85118000,0,7,16458,"Asian not Arabic ,not Islamic",OTHER EQUIPMENT FOR STARTING ENGINES,85118000
4768,85118000,0,4,1258,North America,OTHER EQUIPMENT FOR STARTING ENGINES,85118000
4769,85118000,0,49,9685,European Union,OTHER EQUIPMENT FOR STARTING ENGINES,85118000
4770,85122000,0,47,1280,Gulf Cooperation Council,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,85122000
4771,85129000,0,4,2384,Gulf Cooperation Council,"PARTS FOR VEHICLE LIGHTING, SIGNALLING EQUIPMENT, ETC.",85129000
4772,85131000,0,232,3960,Gulf Cooperation Council,PORTABLE ELECTRIC LAMPS,85131000
4773,85131000,0,115,959,Other Arab League Countries,PORTABLE ELECTRIC LAMPS,85131000
4774,85151900,0,50,335,Gulf Cooperation Council,OTHER BRAZING AND SOLDERING MACHINES,85151900
4775,85151900,0,45,345,Other Arab League Countries,OTHER BRAZING AND SOLDERING MACHINES,85151900
4776,85152900,0,71,1085,Gulf Cooperation Council,OTHER MACHINES FOR RESISTANCE WELDING OF METAL,85152900
4777,85152900,0,41,869,Other Arab League Countries,OTHER MACHINES FOR RESISTANCE WELDING OF METAL,85152900
4778,85152900,0,14,1156,"Asian not Arabic ,not Islamic",OTHER MACHINES FOR RESISTANCE WELDING OF METAL,85152900
4779,85153100,0,80,2209,Gulf Cooperation Council,AUTOMATIC MACHINES FOR ARC WELDING OF METAL,85153100
4780,85153100,0,9,869,Other Arab League Countries,AUTOMATIC MACHINES FOR ARC WELDING OF METAL,85153100
4781,85153900,0,144,1919,Gulf Cooperation Council,OTHER MACHINES FOR ARC WELDING OF METAL,85153900
4782,85153900,0,6,514,European Union,OTHER MACHINES FOR ARC WELDING OF METAL,85153900
4783,85158000,0,65,1114,Gulf Cooperation Council,OTHER MACHINES AND APPARATUS FOR SOLDERING AND WELDING,85158000
4784,85158000,0,111,817,Other Arab League Countries,OTHER MACHINES AND APPARATUS FOR SOLDERING AND WELDING,85158000
4785,85158000,0,1192,3715,Islamic not Arabic countries,OTHER MACHINES AND APPARATUS FOR SOLDERING AND WELDING,85158000
4786,85158000,0,908,3215,"Asian not Arabic ,not Islamic",OTHER MACHINES AND APPARATUS FOR SOLDERING AND WELDING,85158000
4787,85158000,0,135,632,"African not Arabic,not Islamic",OTHER MACHINES AND APPARATUS FOR SOLDERING AND WELDING,85158000
4788,85158000,0,31,1433,European Union,OTHER MACHINES AND APPARATUS FOR SOLDERING AND WELDING,85158000
4789,85159000,0,64,525,Gulf Cooperation Council,PARTS FOR MACHINES FOR WELDING AND SOLDERONG,85159000
4790,85159000,0,6,1350,"Asian not Arabic ,not Islamic",PARTS FOR MACHINES FOR WELDING AND SOLDERONG,85159000
4791,85159000,0,5,570,European Union,PARTS FOR MACHINES FOR WELDING AND SOLDERONG,85159000
4792,85161000,100772,6486,77366,Gulf Cooperation Council,ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4793,85161000,97503,2167,17754,Other Arab League Countries,ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4794,85161000,13652,277,2733,Islamic not Arabic countries,ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4795,85161000,4795,112,1088,"Asian not Arabic ,not Islamic",ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4796,85161000,11553,250,1872,"African not Arabic,not Islamic",ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4797,85161000,4583,102,889,South America,ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4798,85161000,69460,1275,11900,European Union,ELECTRIC WATER HEATERS AND IMMERSION HEATERS,85161000
4799,85162990,0,79,1286,Gulf Cooperation Council,OTHER ELECTRIC SPACE AND SOIL HEATING APPARATUS,85162990
4800,85162990,0,42,647,Other Arab League Countries,OTHER ELECTRIC SPACE AND SOIL HEATING APPARATUS,85162990
4801,85163200,0,32,1187,Gulf Cooperation Council,OTHER HAIR-DRESSING APPARATUS,85163200
4802,85166000,8304,59,1323,Gulf Cooperation Council,"OTHER OVENS; COOKERS, COOKING PLATES AND THE LIKE",85166000
4803,85166000,3837,172,2715,Other Arab League Countries,"OTHER OVENS; COOKERS, COOKING PLATES AND THE LIKE",85166000
4804,85166000,1008,85,1854,"Asian not Arabic ,not Islamic","OTHER OVENS; COOKERS, COOKING PLATES AND THE LIKE",85166000
4805,85167100,0,76,4890,Gulf Cooperation Council,COFFEE OR TEA MAKERS,85167100
4806,85167990,0,162,1977,Gulf Cooperation Council,OTHER ELECTRO-THERMIC APPLIANCES,85167990
4807,85167990,0,64,543,Other Arab League Countries,OTHER ELECTRO-THERMIC APPLIANCES,85167990
4808,85168000,0,42,5148,North America,ELECTRIC HEATING RESISTORS,85168000
4809,85171100,5357,2,453,Gulf Cooperation Council,TELEPHONE EQUIPMENT WITH WIRELESS HEADPHONE,85171100
4810,85171200,1443883,485,744724,Gulf Cooperation Council,Telephones for cellular networks or for other wireless networks,85171200
4811,85171200,31318,10,13290,Other Arab League Countries,Telephones for cellular networks or for other wireless networks,85171200
4812,85171200,15010,3,6082,Islamic not Arabic countries,Telephones for cellular networks or for other wireless networks,85171200
4813,85171200,11858,4,9715,"Asian not Arabic ,not Islamic",Telephones for cellular networks or for other wireless networks,85171200
4814,85171200,8250,2,699,"African not Arabic,not Islamic",Telephones for cellular networks or for other wireless networks,85171200
4815,85171800,0,45,14887,Gulf Cooperation Council,Other Telephones for cellular networks or for other wireless net,85171800
4816,85171800,0,1,4404,North America,Other Telephones for cellular networks or for other wireless net,85171800
4817,85171800,0,9,409,European Union,Other Telephones for cellular networks or for other wireless net,85171800
4818,85176210,0,12,3251,Gulf Cooperation Council,Telephonic or telegraphic switching apparatus,85176210
4819,85176220,0,7,4027,Gulf Cooperation Council,"Other apparatus, for carrier-current line systems or for digital",85176220
4820,85176290,0,21,10853,Gulf Cooperation Council,"Other Machines for the reception, conversion and transmission",85176290
4821,85176290,0,2,16840,North America,"Other Machines for the reception, conversion and transmission",85176290
4822,85176290,0,120,3291,European Union,"Other Machines for the reception, conversion and transmission",85176290
4823,85176990,0,15,8220,Gulf Cooperation Council,Other signalling or paging apparatus,85176990
4824,85176990,0,134,425,Other Arab League Countries,Other signalling or paging apparatus,85176990
4825,85176990,0,3,475,"Asian not Arabic ,not Islamic",Other signalling or paging apparatus,85176990
4826,85177000,0,20,12675,Gulf Cooperation Council,"apparatus for transmission or reception of voice, images or othe",85177000
4827,85177000,0,20,22608,"Asian not Arabic ,not Islamic","apparatus for transmission or reception of voice, images or othe",85177000
4828,85177000,0,2,4124,European Union,"apparatus for transmission or reception of voice, images or othe",85177000
4829,85183090,0,20,2150,Gulf Cooperation Council,Other Line telephone handsets,85183090
4830,85189090,0,46,716,Gulf Cooperation Council,Other  Electric amplifiers when used as repeaters,85189090
4831,85198100,0,3,604,Gulf Cooperation Council,"Recorders or Radios Using magnetic, optical or semiconductor medi",85198100
4832,85198900,0,21,619,European Union,"Other Machine Using magnetic, optical or semiconductor media",85198900
4833,85219000,1214,9,1121,Gulf Cooperation Council,OTHER VIDEO RECORDERS,85219000
4834,85229000,0,5,654,Gulf Cooperation Council,OTHER PARTS OF HEADINGS 85.19 TO 85.21,85229000
4835,85232100,0,41,5036,Gulf Cooperation Council,Cards incorporating a magnetic stripe,85232100
4836,85232100,0,54,3023,Other Arab League Countries,Cards incorporating a magnetic stripe,85232100
4837,85232100,0,3,381,"African not Arabic,not Islamic",Cards incorporating a magnetic stripe,85232100
4838,85232990,0,27,798,Gulf Cooperation Council,Other Prepared unrecorded media for sound or Vide recording,85232990
4839,85234900,0,32,3732,Gulf Cooperation Council,Optical media,85234900
4840,85235100,0,1,919,Gulf Cooperation Council,Solid-state non-volatile storage devices,85235100
4841,85235200,0,15,2082,Gulf Cooperation Council,“Smart cards”,85235200
4842,85235900,0,10,305,Gulf Cooperation Council,Other Semiconductor media,85235900
4843,85255040,0,124,521,Other Arab League Countries,Transmission apparatusexpt for radio or television,85255040
4844,85255040,0,180,651,North America,Transmission apparatusexpt for radio or television,85255040
4845,85255040,0,1,636,European Union,Transmission apparatusexpt for radio or television,85255040
4846,85255050,0,11,946,"Asian not Arabic ,not Islamic",Set top boxes which have a communication function: a microprocess,85255050
4847,85256000,0,10,1357,Gulf Cooperation Council,Transmission apparatus incorporating reception apparatus,85256000
4848,85256000,0,0,1256,North America,Transmission apparatus incorporating reception apparatus,85256000
4849,85256000,0,4,3364,European Union,Transmission apparatus incorporating reception apparatus,85256000
4850,85258010,0,2,885,Gulf Cooperation Council,Video Cameras,85258010
4851,85258010,0,3,1024,"Asian not Arabic ,not Islamic",Video Cameras,85258010
4852,85258010,0,14,4992,European Union,Video Cameras,85258010
4853,85258020,0,1,1028,European Union,Video Cameras,85258020
4854,85258090,0,16,3053,Gulf Cooperation Council,"Other Television cameras, digital cameras and video camera  rec",85258090
4855,85258090,0,0,428,"African not Arabic,not Islamic","Other Television cameras, digital cameras and video camera  rec",85258090
4856,85258090,0,9,6728,European Union,"Other Television cameras, digital cameras and video camera  rec",85258090
4857,85261000,0,0,2345,Gulf Cooperation Council,RADAR APPARATUS,85261000
4858,85261000,0,0,338,Islamic not Arabic countries,RADAR APPARATUS,85261000
4859,85261000,0,151,279361,North America,RADAR APPARATUS,85261000
4860,85261000,0,0,1386,European Union,RADAR APPARATUS,85261000
4861,85269110,0,1,1496,Gulf Cooperation Council,(GPS),85269110
4862,85269200,0,0,741,European Union,RADIO REMOTE CONTROL APPARATUS,85269200
4863,85279100,0,9,806,Islamic not Arabic countries,Combined with sound recording or reproducing apparatus,85279100
4864,85284900,0,36,1724,Gulf Cooperation Council,Other Cathode-ray tube monitors,85284900
4865,85285100,0,29,2934,Gulf Cooperation Council,Monitors of a kind solely or principally used in an automatic da,85285100
4866,85285100,0,23,1067,European Union,Monitors of a kind solely or principally used in an automatic da,85285100
4867,85285900,0,31,1536,Gulf Cooperation Council,Other monitors,85285900
4868,85285900,0,1128,1352,Islamic not Arabic countries,Other monitors,85285900
4869,85285900,0,25,746,"Asian not Arabic ,not Islamic",Other monitors,85285900
4870,85286100,0,3,317,Gulf Cooperation Council,Projectors of a kind solely or principally used in an automatic,85286100
4871,85286100,0,0,736,European Union,Projectors of a kind solely or principally used in an automatic,85286100
4872,85286900,0,41,1468,Gulf Cooperation Council,Other Projectors,85286900
4873,85286900,0,5,4466,European Union,Other Projectors,85286900
4874,85287190,4052,49,1402,Gulf Cooperation Council,other,85287190
4875,85287190,2135,43,535,Other Arab League Countries,other,85287190
4876,85287290,0,57,1494,Gulf Cooperation Council,Other Set top boxes which have a communication function,85287290
4877,85287290,0,299,963,Other Arab League Countries,Other Set top boxes which have a communication function,85287290
4878,85287300,0,520,6781,Gulf Cooperation Council,"Other, black and white or other monochrome",85287300
4879,85287300,0,211,1136,Other Arab League Countries,"Other, black and white or other monochrome",85287300
4880,85291010,0,0,501,European Union,Aerials or antennae of a kind used with apparatus for radio-telep,85291010
4881,85291090,0,6,643,Gulf Cooperation Council,Other Aerials or antennae of a kind used with apparatus for radio,85291090
4882,85291090,0,8,3760,"Asian not Arabic ,not Islamic",Other Aerials or antennae of a kind used with apparatus for radio,85291090
4883,85291090,0,112,1481,European Union,Other Aerials or antennae of a kind used with apparatus for radio,85291090
4884,85299010,0,1,620,Gulf Cooperation Council,Parts of:  transmission apparatus other than apparatus for radio-,85299010
4885,85299010,0,3,3722,"Asian not Arabic ,not Islamic",Parts of:  transmission apparatus other than apparatus for radio-,85299010
4886,85299010,0,1,4784,North America,Parts of:  transmission apparatus other than apparatus for radio-,85299010
4887,85299010,0,3,1138,European Union,Parts of:  transmission apparatus other than apparatus for radio-,85299010
4888,85299090,0,84,11205,Gulf Cooperation Council,Other Parts of:  transmission apparatus other than apparatus for,85299090
4889,85299090,0,101,71200,"Asian not Arabic ,not Islamic",Other Parts of:  transmission apparatus other than apparatus for,85299090
4890,85299090,0,1,12751,European Union,Other Parts of:  transmission apparatus other than apparatus for,85299090
4891,85311000,0,6,1009,Gulf Cooperation Council,BURGLAR OR FIRE ALARMS AND SIMILAR APPARATUS,85311000
4892,85311000,0,22,842,"Asian not Arabic ,not Islamic",BURGLAR OR FIRE ALARMS AND SIMILAR APPARATUS,85311000
4893,85319090,0,17,879,Gulf Cooperation Council,Other Parts of apparatus of subheading 85 31 20 00 - 85 31 80 20,85319090
4894,85321000,0,0,1503,North America,FIXED CAPACITORS FOR 50/60 HZ CIRCUITS WITH 0.5 KVAR,85321000
4895,85321000,0,2,562,European Union,FIXED CAPACITORS FOR 50/60 HZ CIRCUITS WITH 0.5 KVAR,85321000
4896,85322900,0,137,1463,Gulf Cooperation Council,OTHER FIXED CAPACITORS,85322900
4897,85322900,0,7,598,European Union,OTHER FIXED CAPACITORS,85322900
4898,85352900,0,165,2407,Gulf Cooperation Council,OTHER AUTOMATIC CIRCUIT BREAKERS (1000V- 72.5 KV),85352900
4899,85352900,0,227,7132,Islamic not Arabic countries,OTHER AUTOMATIC CIRCUIT BREAKERS (1000V- 72.5 KV),85352900
4900,85352900,0,11,384,European Union,OTHER AUTOMATIC CIRCUIT BREAKERS (1000V- 72.5 KV),85352900
4901,85353000,0,74,2282,Gulf Cooperation Council,ISOLATING SWITCHES AND MAKE-AND-BREAK SWITCHES,85353000
4902,85353000,0,247,2247,Other Arab League Countries,ISOLATING SWITCHES AND MAKE-AND-BREAK SWITCHES,85353000
4903,85353000,0,10,1550,Islamic not Arabic countries,ISOLATING SWITCHES AND MAKE-AND-BREAK SWITCHES,85353000
4904,85353000,0,3,551,"Asian not Arabic ,not Islamic",ISOLATING SWITCHES AND MAKE-AND-BREAK SWITCHES,85353000
4905,85359000,0,539,7468,Gulf Cooperation Council,"OTHER APPARATUS FOR PROTECTING CIRCUITS, OVER 1000 V",85359000
4906,85359000,0,100,1362,Other Arab League Countries,"OTHER APPARATUS FOR PROTECTING CIRCUITS, OVER 1000 V",85359000
4907,85359000,0,44,500,"African not Arabic,not Islamic","OTHER APPARATUS FOR PROTECTING CIRCUITS, OVER 1000 V",85359000
4908,85359000,0,7,306,European Union,"OTHER APPARATUS FOR PROTECTING CIRCUITS, OVER 1000 V",85359000
4909,85362000,0,73,1541,Gulf Cooperation Council,AUTOMATIC CIRCUIT BREAKERS FOR 1000 V OR LESS,85362000
4910,85363000,0,10,690,Gulf Cooperation Council,"OTHER APPARATUS FOR PROTECTING CIRCUITS, 1000 V OR LESS",85363000
4911,85364900,0,254,7143,Gulf Cooperation Council,OTHER RELAYS FOR 61 TO 1000 V,85364900
4912,85364900,0,95,5095,Islamic not Arabic countries,OTHER RELAYS FOR 61 TO 1000 V,85364900
4913,85364900,0,12,59626,European Union,OTHER RELAYS FOR 61 TO 1000 V,85364900
4914,85365010,0,75,1873,Gulf Cooperation Council,Electronic AC switches consisting of optically coupled input and,85365010
4915,85365010,0,93,1813,Other Arab League Countries,Electronic AC switches consisting of optically coupled input and,85365010
4916,85365010,0,8,582,"African not Arabic,not Islamic",Electronic AC switches consisting of optically coupled input and,85365010
4917,85365090,0,239,4564,Gulf Cooperation Council,OTHER SWITCHES,85365090
4918,85365090,0,60,2116,Other Arab League Countries,OTHER SWITCHES,85365090
4919,85366100,0,21,354,Gulf Cooperation Council,LAMPHOLDERS FOR 1000 V OR LESS,85366100
4920,85366100,0,24,309,Other Arab League Countries,LAMPHOLDERS FOR 1000 V OR LESS,85366100
4921,85366910,0,43,1031,Gulf Cooperation Council,Plugs and sockets for co-axial cables and printed circuits,85366910
4922,85366990,0,90,5881,Gulf Cooperation Council,Other Plugs and sockets for co-axial cables and printed circuits,85366990
4923,85366990,0,103,1050,Other Arab League Countries,Other Plugs and sockets for co-axial cables and printed circuits,85366990
4924,85369010,0,35,5961,Gulf Cooperation Council,Connection and contact elements for wires and cables,85369010
4925,85369090,0,24,2316,Gulf Cooperation Council,Other Connection and contact elements for wires and cables  Or Wa,85369090
4926,85369090,0,22,1581,Other Arab League Countries,Other Connection and contact elements for wires and cables  Or Wa,85369090
4927,85371000,0,301,9505,Gulf Cooperation Council,APPARATUS FOR ELECTRICAL CONTROL 1000 V OR LESS,85371000
